"","pitcher_name","player_name","game_date","events","launch_angle","launch_speed","video_url"
"76","Dylan Cease","Edman, Tommy",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=14de2a1f-8917-4f80-b9e2-6387d0caf311"
"77","Yoshinobu Yamamoto","Higashioka, Kyle",2024-10-05,"field_out",-7,74.5,"https://baseballsavant.mlb.com/sporty-videos?playId=f92c0e12-19ff-452d-97e4-8a9c2a20e7ed"
"78","Blake Treinen","Profar, Jurickson",2024-10-05,"walk",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=740568c5-c804-4d4f-8c69-cd33ab8105d2"
"79","Dylan Cease","Edman, Tommy",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=6a5a0241-4d75-4b6b-8aa8-6230b9102d8f"
"80","Dylan Cease","Edman, Tommy",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=05ef27b5-f6d3-4762-9bf9-4198d510a9d1"
"81","Yoshinobu Yamamoto","Higashioka, Kyle",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=00c6f2d7-4810-4c5c-91f6-c6b52a8208b3"
"82","Blake Treinen","Profar, Jurickson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=2d30ec92-b121-4894-b481-ee2be155ec83"
"83","Dylan Cease","Edman, Tommy",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=963169b1-5c0e-49b0-8bbe-e098d54eba0c"
"84","Blake Treinen","Profar, Jurickson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=ccd384be-11d6-4de7-ab35-806ded955b16"
"85","Yoshinobu Yamamoto","Solano, Donovan",2024-10-05,"field_out",-13,85.2,"https://baseballsavant.mlb.com/sporty-videos?playId=d5996793-7289-4d21-8275-0bb719d83915"
"86","Dylan Cease","Lux, Gavin",2024-10-05,"single",15,101.1,"https://baseballsavant.mlb.com/sporty-videos?playId=ae8c7109-77e8-4406-9b6f-875c68608744"
"87","Yoshinobu Yamamoto","Solano, Donovan",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=c5effdfe-2819-4b11-8d87-5a40985389a6"
"88","Blake Treinen","Profar, Jurickson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=47c6e71e-d3f3-42d5-bf5c-8c63fa76cb48"
"89","Yoshinobu Yamamoto","Solano, Donovan",2024-10-05,NA,36,79,"https://baseballsavant.mlb.com/sporty-videos?playId=cf3d89dd-6a4f-4f72-8432-fa137c7d4314"
"90","Blake Treinen","Profar, Jurickson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=d7e387dd-4e26-44ed-9769-584d6b4fd892"
"91","Dylan Cease","Lux, Gavin",2024-10-05,NA,29,79.7,"https://baseballsavant.mlb.com/sporty-videos?playId=871669ad-30ba-4031-bc6d-1fbc44ed9cb8"
"92","Blake Treinen","Profar, Jurickson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=78f3eb0f-4860-419b-b2ad-c275c8b9690d"
"93","Dylan Cease","Lux, Gavin",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=e112ff31-45aa-4ab5-bd90-39bc3dacafe1"
"94","Yoshinobu Yamamoto","Solano, Donovan",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=7767991e-3df4-4392-9db9-cb816937200f"
"95","Dylan Cease","Smith, Will",2024-10-05,"walk",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=3e0f7ba2-7eb9-481c-a5ee-0e01f8694b76"
"96","Yoshinobu Yamamoto","Solano, Donovan",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=20119bd8-4932-4170-826d-b3f1ffb7a716"
"97","Blake Treinen","Tatis Jr., Fernando",2024-10-05,"single",6,108.8,"https://baseballsavant.mlb.com/sporty-videos?playId=6f37670a-a700-4f3b-aff8-ff844bac045d"
"98","Dylan Cease","Smith, Will",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=57b1fbe4-cfd6-4b58-94d0-c2cfb064db5f"
"99","Yoshinobu Yamamoto","Cronenworth, Jake",2024-10-05,"field_out",-17,94.7,"https://baseballsavant.mlb.com/sporty-videos?playId=c93fe572-1f8b-4607-81ac-7a7f2a4b3d8a"
"100","Blake Treinen","Tatis Jr., Fernando",2024-10-05,NA,20,80.4,"https://baseballsavant.mlb.com/sporty-videos?playId=ace588cf-cb08-4fea-b72d-a5f8e3d0b9e9"
"101","Dylan Cease","Smith, Will",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=8d80fedf-b247-4422-a6af-4bdcab30e01e"
"102","Blake Treinen","Tatis Jr., Fernando",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=b977c0f6-5442-46db-8e50-0a0f86b290d7"
"103","Yoshinobu Yamamoto","Cronenworth, Jake",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=49f748c9-0ce0-4e2b-9a78-fc739726379a"
"104","Yoshinobu Yamamoto","Cronenworth, Jake",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=86ddb372-3355-499b-997d-48d1a6c14e68"
"105","Dylan Cease","Smith, Will",2024-10-05,NA,42,75.4,"https://baseballsavant.mlb.com/sporty-videos?playId=e7585cac-8350-4977-acdc-ff91f2897331"
"106","Blake Treinen","Tatis Jr., Fernando",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=b6d8b331-eb89-4d3c-be8f-04cd61c7e3a5"
"107","Blake Treinen","Tatis Jr., Fernando",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=10883d53-5f93-4137-8f98-6bf5b07f9756"
"108","Dylan Cease","Smith, Will",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=b56d60a7-50cc-4608-9ded-f569b39cef29"
"109","Yoshinobu Yamamoto","Cronenworth, Jake",2024-10-05,NA,64,77.1,"https://baseballsavant.mlb.com/sporty-videos?playId=6590fa93-2df2-43a7-99fc-b3c3637c76e2"
"110","Blake Treinen","Tatis Jr., Fernando",2024-10-05,NA,-20,98.3,"https://baseballsavant.mlb.com/sporty-videos?playId=ead8a5d7-75fe-4c65-8bd0-46c4f3076673"
"111","Dylan Cease","Smith, Will",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=d2db789f-90c1-4034-bb44-4a5718855a77"
"112","Yoshinobu Yamamoto","Cronenworth, Jake",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=61dcc3a7-87e6-451c-a2f2-06e43ed603d5"
"113","Yoshinobu Yamamoto","Bogaerts, Xander",2024-10-05,"single",22,73.4,"https://baseballsavant.mlb.com/sporty-videos?playId=5ad9da18-a876-47c1-819f-a0cecd77d855"
"114","Blake Treinen","Arraez, Luis",2024-10-05,"field_out",11,88.1,"https://baseballsavant.mlb.com/sporty-videos?playId=e1fa2fd6-01a8-40b2-b85d-5e751ca8aa11"
"115","Dylan Cease","Smith, Will",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=508181fa-1c06-492a-9ca2-e9b64eca381e"
"116","Blake Treinen","Arraez, Luis",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=f414c3b8-18bd-4838-ae45-96ec02db24a3"
"117","Michael Kopech","Merrill, Jackson",2024-10-05,"walk",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=a6a2cb18-10bd-4eb6-84b6-1a4dcb2ec086"
"118","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,"field_out",41,84.8,"https://baseballsavant.mlb.com/sporty-videos?playId=d9a9b8d3-6684-4de7-9e26-0c5a6b48a7ba"
"119","Dylan Cease","Muncy, Max",2024-10-05,"strikeout",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=8fe18f59-21e7-4c65-9919-27a7cb864129"
"120","Dylan Cease","Muncy, Max",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=cddadff9-10b8-4078-9907-fffdac202199"
"121","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=25619df7-78e3-49f1-85f7-2eb54d387c5f"
"122","Michael Kopech","Merrill, Jackson",2024-10-05,NA,40,79,"https://baseballsavant.mlb.com/sporty-videos?playId=98e2143d-6005-4b86-914d-82a6baf91f6e"
"123","Blake Treinen","Arraez, Luis",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=b4400a52-02de-4447-a312-7ee391815baf"
"124","Blake Treinen","Arraez, Luis",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=5ee61ad8-67df-4d7a-83eb-197df392ac20"
"125","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=3c5e583f-4be7-45f4-84fe-6ad00923f7ba"
"126","Ryan Brasier","Machado, Manny",2024-10-05,"field_out",54,99.4,"https://baseballsavant.mlb.com/sporty-videos?playId=7e6644d2-8da5-4ac8-8f06-f38c9955c2b8"
"127","Dylan Cease","Muncy, Max",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=67bb777e-8422-4769-9a2b-53af8d9b8f99"
"128","Michael Kopech","Merrill, Jackson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=447e6b40-f8cf-4487-b2c5-25668a80a9b6"
"129","Michael Kopech","Merrill, Jackson",2024-10-05,NA,86,81,"https://baseballsavant.mlb.com/sporty-videos?playId=c78f20ac-c1ca-4c3e-976e-beeab5f2134a"
"130","Jason Adam","Hernández, Teoscar",2024-10-05,"field_out",-1,98.8,"https://baseballsavant.mlb.com/sporty-videos?playId=fcd8ef20-6df4-4790-876c-b5b517f8415c"
"131","Blake Treinen","Díaz, Elias",2024-10-05,"strikeout",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=b904888f-90df-4ad8-87a1-2b5d4d3b799c"
"132","Dylan Cease","Muncy, Max",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=21e90973-4658-4736-954c-148a44facbc0"
"133","Ryan Brasier","Machado, Manny",2024-10-05,NA,81,87.9,"https://baseballsavant.mlb.com/sporty-videos?playId=71c3ed72-c77d-43da-84ba-72b957cf8d40"
